plz,lat,lon,ort
2520,47.07530391,7.101651227,La Neuveville
2523,47.09123514,7.050632801,Lignières
2525,47.06438976,7.057487923,Le Landeron
2532,47.141664,7.218417,Magglingen/Macolin
2533,47.14558164,7.220986745,Evilard
2534,47.15624744,7.193119944,Orvin
2534,47.15624744,7.193119944,Les Prés-d'Orvin
2535,47.169215,7.257512,Frinvillier
2536,47.188382,7.276413,Plagne
2537,47.185467,7.29684,Vauffelin
2538,47.196888,7.30166,Romont BE
1001,46.519595,6.63233,Lausanne
2540,47.19718138,7.387529706,Grenchen
2540,47.19718138,7.387529706,Grenchen 1
2540,47.19718138,7.387529706,Grenchen 2
2542,47.17387013,7.328008235,Pieterlen
2543,47.181247,7.363152,Lengnau BE
2544,47.20855135,7.418841127,Bettlach
2545,47.21723252,7.448396218,Selzach
2552,47.14180394,7.303118574,Orpund
2553,47.15230355,7.321921064,Safnern
2554,47.1614154,7.352668302,Meinisberg
2555,47.126608,7.277114,Brügg
2556,47.121929,7.314355,Scheuren
2557,47.109917,7.298819,Studen
2558,47.11714427,7.285088747,Aegerten
2560,47.12434461,7.240867042,Nidau
2562,47.11411101,7.258903277,Port
2563,47.11504594,7.231822697,Ipsach
2564,47.10287767,7.243185447,Bellmund
2565,47.096909,7.267667,Jens
2572,47.084052,7.212937,Sutz-Lattrigen
2575,47.06527338,7.197813569,Täuffelen
2576,47.043249,7.154039,Lüscherz
2577,47.017191,7.178946,Siselen
3237,47.023031,7.151076,Brüttelen
2603,47.19869629,7.263305853,Péry
2604,47.188501,7.218523,La Heutte
2605,47.19153794,7.178470464,Sonceboz-Sombeval
2606,47.19107213,7.138583535,Corgémont
2607,47.174833,7.107801,Cortébert
2608,47.1764537,7.072653666,Courtelary
2608,47.1764537,7.072653666,Mtgne-Courtelary
2610,47.151094,6.988854,Saint-Imier
1002,46.519595,6.63233,Lausanne
2610,47.151094,6.988854,Mont-Soleil
2610,47.151094,6.988854,Mont-Crosin
2612,47.164468,7.046914,Cormoret
2613,47.16237,7.022792,Villeret
2615,47.138715,6.952242,Sonvilier
2615,47.138715,6.952242,Montagne-Sonvilier
2616,47.11319,6.869005,Renan BE
2710,47.22136743,7.183779029,Tavannes
1003,46.55204314,6.652307803,Lausanne
2712,47.243388,7.18281,Le Fuet
2714,47.257435,7.131295,Le Prédame
2717,47.284904,7.182592,Fornet-Dessous
2718,47.278861,7.104636,Fornet-Dessus
2716,47.27114,7.217187,Sornetan
2713,47.268483,7.166734561,Bellelay
2714,47.257435,7.131295,Les Genevez JU
1004,46.519595,6.63233,Lausanne
2718,47.278861,7.104636,Lajoux JU
2720,47.22724064,7.09680167,Tramelan
2720,47.22724064,7.09680167,La Tanne
2722,47.22462,7.083355,Les Reussilles
2723,47.202772,7.064316,Mont-Tramelan
2345,47.20518201,7.002556184,Les Breuleux
2345,47.20518201,7.002556184,Le Cerneux-Veusil
2345,47.20518201,7.002556184,La Chaux-des-Breuleux
2340,47.213662,6.944124625,Le Noirmont
1005,46.519595,6.63233,Lausanne
2350,47.2458312,7.019992335,Saignelégier
2353,47.273598,6.986217,Les Pommerats
2354,47.267305,6.959292,Goumois
2732,47.22666441,7.222982881,Reconvilier
2732,47.22666441,7.222982881,Saicourt
2732,47.22666441,7.222982881,Saules BE
2732,47.22666441,7.222982881,Loveresse
2733,47.249666,7.253908,Pontenet
2735,47.232017,7.285008,Malleray-Bévilard
1006,46.519595,6.63233,Lausanne
2735,47.232017,7.285008,Bévilard
2736,47.233042,7.306863,Sorvilier
2738,47.23975518,7.359240742,Court
2740,47.27738119,7.361671272,Moutier
2740,47.27738119,7.361671272,Moutier 1
2740,47.27738119,7.361671272,Moutier 2
2742,47.278215,7.321825,Perrefitte
2748,47.273817,7.255861,Souboz
2953,47.40891,7.192515,Fregiécourt-Pleuj
2954,47.390934,7.205187,Asuel
1018,46.55204314,6.652307803,Lausanne
1020,46.535299,6.593655,Renens VD
1020,46.535299,6.593655,Renens VD 1
1020,46.535299,6.593655,Renens VD 2
3000,46.94761344,7.406455946,Bern
3000,46.94761344,7.406455946,Bern 5
3000,46.94761344,7.406455946,Bern 6
3000,46.94761344,7.406455946,Bern 8
3000,46.94761344,7.406455946,Bern 9
1022,46.527979,6.573672,Chavannes-près-Renens
3000,46.94761344,7.406455946,Bern 13
3000,46.94761344,7.406455946,Bern 14
3000,46.94761344,7.406455946,Bern 15
3000,46.94761344,7.406455946,Bern 22
3000,46.94761344,7.406455946,Bern 23
3000,46.94761344,7.406455946,Bern 25
1023,46.5584811,6.577309138,Crissier
3000,46.94761344,7.406455946,Bern 31
3000,46.94761344,7.406455946,Bern 1 Zustellung
1024,46.52719,6.550683,Ecublens VD
3000,46.94761344,7.406455946,Bern Postauto
1025,46.512148,6.539072,Saint-Sulpice VD
3001,46.948021,7.44821,Bern
3002,46.948021,7.44821,Bern Postfinance
3003,46.948021,7.44821,Bern
3004,46.94761344,7.406455946,Bern
3005,46.93998,7.44864,Bern
3006,46.945221,7.46987,Bern
3007,46.93861,7.43985,Bern
3008,46.94363,7.41822,Bern
3010,46.94761344,7.406455946,Bern
3011,46.94761344,7.406455946,Bern
3012,46.948232,7.44001,Bern
3013,46.948232,7.44001,Bern
3014,46.94761344,7.406455946,Bern
3015,46.948232,7.44001,Bern
3018,46.94761344,7.406455946,Bern
3019,46.931272,7.337686,Bern
3020,46.943758,7.349005,Bern
3027,46.94761344,7.406455946,Bern
3095,46.9209,7.42556,Spiegel b. Bern
1026,46.519399,6.533801,Echandens-Denges
1027,46.52986794,6.516933912,Lonay
3032,46.966266,7.388907288,Hinterkappelen
3033,46.982617,7.341256,Wohlen b. Bern
3034,46.98164,7.316445,Murzelen
3035,46.978476,7.265462678,Frieswil
3036,47.001705,7.27331,Detligen
3037,46.97803,7.41809,Herrenschwanden
3038,46.99846535,7.415786619,Kirchlindach
1028,46.51605698,6.529001827,Préverenges
3042,46.991721,7.402445,Ortschwaben
3043,46.980313,7.380972113,Uettligen
3049,46.9917551,7.3342661,Säriswil
3045,47.00397,7.365878,Meikirch
3046,47.004169,7.336935,Wahlendorf
3047,46.974376,7.434629,Bremgarten b. Bern
3048,46.948693,7.474210087,Worblaufen
3052,46.99423009,7.452428036,Zollikofen
3053,47.01814848,7.448593695,Münchenbuchsee
3054,47.03577043,7.374668975,Schüpfen
3063,46.98063365,7.474518407,Ittigen
3065,46.98316037,7.513636392,Bolligen
3065,46.98316037,7.513636392,Bolligen Dorf
3065,46.98316037,7.513636392,Bolligen Station
3066,46.95663673,7.522125568,Stettlen
3067,46.945895,7.552048984,Boll
3068,46.952372,7.576668,Utzigen
3072,46.95589739,7.495587166,Ostermundigen
3072,46.95589739,7.495587166,Ostermundigen 1
3072,46.95589739,7.495587166,Ostermundigen 2
3072,46.95589739,7.495587166,Ostermundigen SB
3073,47.13098,7.531282016,Gümligen
3074,46.931454,7.49884,Muri b. Bern
3075,46.927406,7.544254,Rüfenacht BE
3076,46.92723955,7.570766976,Worb
1030,46.552254,6.550058,Bussigny-près-Lausanne
3077,46.932019,7.59649,Enggistein
3078,46.882212,7.583361617,Richigen
3082,46.906611,7.612471,Schlosswil
3083,46.902626,7.5748,Trimstein
3084,46.940719,7.458777347,Wabern
3088,46.817546,7.432574,Oberbütschel
3086,46.85176,7.459328895,Zimmerwald
1032,46.560792,6.608509,Romanel-sur-Lausanne
3087,46.857627,7.460841,Niedermuhlern
3088,46.817546,7.432574,Rüeggisberg
3089,46.837569,7.401964,Hinterfultigen
3096,46.865983,7.409022,Oberbalm
3097,46.944076,7.401241393,Liebefeld
3098,46.9043166,7.397806442,Köniz
3098,46.9043166,7.397806442,Schliern b. Köniz
3099,46.770671,7.456789,Rüti b. Riggisberg
3110,46.87607634,7.560894769,Münsingen
1033,46.578149,6.594388,Cheseaux-sur-Lausanne
3112,46.913624,7.521202,Allmendingen
3114,46.84529995,7.579441412,Wichtrach
3115,46.846389,7.546094,Gerzensee
3116,46.800029,7.543826,Kirchdorf BE
3629,46.81261009,7.57995845,Kiesen
3628,46.793616,7.572413,Uttigen
3122,46.91211804,7.47155859,Kehrsatz
3123,46.8927087,7.506752527,Belp
3124,46.865719,7.520565,Belpberg
3125,46.85884,7.492389563,Toffen
3126,46.839328,7.495906,Kaufdorf
3127,46.81600327,7.51029785,Mühlethurnen
1037,46.60142633,6.608504607,Etagnières
3128,46.822893,7.505082,Kirchenthurnen
3132,46.80833952,7.469437814,Riggisberg
3664,46.79207072,7.50323251,Burgistein
3665,46.75932381,7.49272129,Wattenwil
3662,46.79036261,7.539168383,Seftigen
3663,46.772385,7.534421,Gurzelen
1038,46.69164206,6.706203376,Bercher
3661,46.77497977,7.574569694,Uetendorf
3144,46.89995,7.401854,Gasel
3145,46.882799,7.379759494,Niederscherli
3147,46.876539,7.368507,Mittelhäusern
3148,46.843541,7.347991,Lanzenhäusern
3150,46.845868,7.342788359,Schwarzenburg
3152,46.80972,7.378855,Mamishaus
3153,46.779807,7.392719,Rüschegg
3154,46.78186,7.406947,Rüschegg Heubach
3155,46.814636,7.430354,Helgisried
3156,46.767926,7.347175834,Riffenmatt
3157,46.793094,7.359111,Milken
3158,46.744697,7.34371,Guggisberg
3159,46.783138,7.313864811,Riedstätt
3172,46.915275,7.380358,Niederwangen BE
3173,46.90428,7.367527,Oberwangen b. Bern
3174,46.901395,7.349417841,Thörishaus
1040,46.63845651,6.635198705,Echallens
3175,46.879339,7.319625145,Flamatt
3176,46.90711611,7.298077887,Neuenegg
3177,46.909876,7.242442,Laupen
3178,46.88401274,7.235806106,Bösingen
3179,46.910791,7.222791,Kriechenwil
3182,46.86946605,7.326402181,Ueberstorf
3183,46.851398,7.318044,Albligen
3184,46.886637,7.280598787,Wünnewil-Flamatt
3186,46.84474079,7.191011829,Düdingen
3126,46.839328,7.495906,Gelterfingen
3202,46.95535051,7.333408919,Frauenkappelen
3203,46.9466152,7.271940946,Mühleberg
3204,46.904065,7.263085019,Rosshäusern
3205,46.931805,7.22765522,Gümmenen
